localId,parent,numeral,name,meanRadius-km-,semi-majorAxis-km-,siderealPeriod-d-,rAkaretrograde,discoveryYear,discoveredbyNotes,Refs
19,Jupiter,XIX-19-,Megaclite,2.723,493,000,752.86-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Pasiphae-
20,Jupiter,XX-20-,Taygete,2.523,280,000,732.41-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Carme-
21,Jupiter,XXI-21-,Chaldene,1.923,100,000,723.72-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Carme-
22,Jupiter,XXII-22-,Harpalyke,2.220,858,000,623.32-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Ananke-
23,Jupiter,XXIII-23-,Kalyke,2.623,483,000,742.06-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Carme-
24,Jupiter,XXIV-24-,Iocaste,2.621,060,000,631.60-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Ananke-
25,Jupiter,XXV-25-,Erinome,1.623,196,000,728.46-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Carme-
26,Jupiter,XXVI-26-,Isonoe,1.923,155,000,726.23-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Carme-
27,Jupiter,XXVII-27-,Praxidike3.4,20,908,000,625.39-r-,2000,Sheppard--Jewitt--Fernández--Magnier--Dahm--Evans,Retrogradeirregular-Ananke-
28,Jupiter,XXVIII-28-,Autonoe2,24,046,000,760.95-r-,2001,Sheppard--Jewitt--Kleyna,Retrogradeirregular-Pasiphae-
29,Jupiter,XXIX-29-,Thyone,220,939,000,627.21-r-,2001,Sheppard--Jewitt--Kleyna,Retrogradeirregular-Ananke-
30,Jupiter,XXX-30-,Hermippe,221,131,000,633.9-r-,2001,Sheppard--Jewitt--Kleyna,Retrogradeirregular-Ananke-
31,Jupiter,XXXI-31-,Aitne,1.523,229,000,730.18-r-,2001,Sheppard--Jewitt--Kleyna,Retrogradeirregular-Carme-
